code;valeur;search;nom;famille;active
99;travaux d'efficacité énergétique . isolation des planchers bas;Isolation des planchers bas;Isolation des planchers bas;Travaux d'efficacité énergétique;1
97;travaux d'efficacité énergétique . isolation des toitures terrasses ou des toitures par l'extérieur;Isolation des toitures terrasses ou des toitures par l'extérieur;Isolation des toitures terrasses ou des toitures par l'extérieur;Travaux d'efficacité énergétique;1
95;travaux d'efficacité énergétique . isolation par l'intérieur des murs ou rampants de toitures ou plafonds;Isolation par l'intérieur des murs ou rampants de toitures ou plafonds;Isolation par l'intérieur des murs ou rampants de toitures ou plafonds;Travaux d'efficacité énergétique;1
91;travaux d'efficacité énergétique . radiateurs électriques dont régulation;Radiateurs électriques, dont régulation.;Radiateurs électriques, dont régulation;Travaux d'efficacité énergétique;1
92;travaux d'efficacité énergétique . ventilation mécanique;Ventilation mécanique;Ventilation mécanique;Travaux d'efficacité énergétique;1
20;2020 . chaudière condensation ou micro-cogénération gaz ou fioul;Chaudière condensation ou micro-cogénération gaz ou fioul 2020;Chaudière condensation ou micro-cogénération gaz ou fioul 2020;;0
21;2020 . fenêtres, volets, portes extérieures;Fenêtres, volets, portes extérieures 2020;Fenêtres, volets, portes extérieures 2020;;0
22;2020 . isolation des murs et planchers bas;Isolation des murs et planchers bas 2020;Isolation des murs et planchers bas 2020;;0
23;2020 . isolation du toit;Isolation du toit 2020;Isolation du toit 2020;;0
24;2020 . equipements électriques hors enr : chauffage, eau chaude, éclairage;Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020;Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020;;0
25;2020 . panneaux photovoltaïques;Panneaux photovoltaïques 2020;Panneaux photovoltaïques 2020;;0
26;2020 . chauffage et/ou eau chaude au bois;Chauffage et/ou eau chaude au bois 2020;Chauffage et/ou eau chaude au bois 2020;;0
27;2020 . chauffage et/ou eau chaude solaire;Chauffage et/ou eau chaude solaire 2020;Chauffage et/ou eau chaude solaire 2020;;0
30;2020 . pompe à chaleur et/ou chauffe-eau thermodynamique;Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020;Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020;;0
33;2020 . ventilation;Ventilation 2020;Ventilation 2020;;0
34;2020 . forage géothermique;Forage géothermique 2020;Forage géothermique 2020;;0
721;études énergétiques . audit énergétique logement collectif;Audit énergétique Logement Collectif;Audit énergétique Logement Collectif;Etudes énergétiques;1
722;études énergétiques . audit énergétique maison individuelle/logement collectif;Audit énergétique Maison Individuelle/Logement Collectif;Audit énergétique Maison Individuelle/Logement Collectif;Etudes énergétiques;1
723;études énergétiques . audit énergétique maison individuelle;Audit énergétique Maison individuelle;Audit énergétique Maison individuelle;Etudes énergétiques;1
